date,china,india,indonesia,pakistan
2001-01-01,135,321,110,178
2002-01-01,136,327,111,183
2003-01-01,137,332,113,187
2004-01-01,138,338,114,192
2005-01-01,139,343,116,196
2006-01-01,140,349,118,201
2007-01-01,140,354,119,206
2008-01-01,140,359,121,210
2009-01-01,140,365,122,215
2010-01-01,141,370,124,220
2011-01-01,142,375,126,225
2012-01-01,143,380,127,230
2013-01-01,144,385,129,235
2014-01-01,145,389,131,240
2015-01-01,146,394,133,245
2016-01-01,147,398,134,250
2017-01-01,148,402,136,255
2018-01-01,149,407,138,261
2019-01-01,149,411,139,266
2020-01-01,149,415,141,272
